lemma,DELE等级,负责人,状态,是否有例句,是否有变位,配图文件名,配图负责人,配图状态,备注
【汇总】,全库5000词,同学A,CSV已生成,部分,动词待补,见各等级CSV,同学B,全部待制作,主表 data/vocabulary_5000.csv
【汇总】,A1×800,同学A,待校对,自动生成,待补,*.jpg,同学B,待制作,data/batches/A1/words_A1.csv
【汇总】,A2×1000,同学A,待校对,自动生成,待补,*.jpg,同学B,待制作,含专四标签
【汇总】,B1×1200,同学A,待校对,自动生成,待补,*.jpg,同学B,待制作,含专四标签
【汇总】,B2×1200,同学A,待校对,自动生成,待补,*.jpg,同学B,待制作,含专八标签
【汇总】,C1×400,同学A,待校对,自动生成,待补,*.jpg,同学B,待制作,含专八标签
【汇总】,C2×400,同学A,待校对,自动生成,待补,*.jpg,同学B,待制作,含专八标签
hola,A1,同学A,待校对,是,否,hola.jpg,同学B,待制作,答辩 demo 优先
hablar,A1,同学A,待校对,是,是,hablar.jpg,同学B,待制作,风格样张
casa,A1,同学A,待校对,是,否,casa.jpg,同学B,待制作,风格样张
ser,A1,同学A,待校对,是,是,ser.jpg,同学B,待制作,易混 ser/estar
estar,A1,同学A,待校对,是,是,estar.jpg,同学B,待制作,易混 ser/estar
