lemma,pos,gender,level,sense,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
por,prep,n/a,A2,1,,因为；通过；交换（用途广）,,Lo hago por ti.,我为你做这件事。,,易混词支持|A2|prep,专四,为了,在…旁边,关于,易混词辨析配套词条_2026-07
para,prep,n/a,A2,1,,为了；给；在…之前（目的/对象）,,Esto es para Ana.,这是给安娜的。,,易混词支持|A2|prep,专四,因为,通过,关于,易混词辨析配套词条_2026-07
pedir,v,n/a,A2,1,,请求；点（餐）；要,,Voy a pedir ayuda.,我要请求帮助。,,易混词支持|A2|v,专四,询问,回答,命令,易混词辨析配套词条_2026-07
creer,v,n/a,A2,1,,相信；认为,,Creo que tienes razón.,我认为你是对的。,,易混词支持|A2|v,专四,知道,怀疑,否认,易混词辨析配套词条_2026-07
muy,adv,n/a,A1,1,,很；非常（修饰形容词/副词）,,Está muy cansado.,他非常累。,,易混词支持|A1|adv,专四,很多,太,更,易混词辨析配套词条_2026-07
bien,adv,n/a,A1,1,,好地；顺利；健康,,Habla bien español.,他西班牙语说得好。,,易混词支持|A1|adv,专四,好的,坏,很多,易混词辨析配套词条_2026-07
mal,adv,n/a,A1,1,,坏地；不好地,,Me siento mal.,我不舒服。,,易混词支持|A1|adv,专四,坏的,好地,很,易混词辨析配套词条_2026-07
también,adv,n/a,A1,1,,也；同样,,Yo también quiero ir.,我也想去。,,易混词支持|A1|adv,专四,也不,已经,还,易混词辨析配套词条_2026-07
tampoco,adv,n/a,A2,1,,也不,,Yo tampoco lo sé.,我也不知道。,,易混词支持|A2|adv,专四,也,从不,已经,易混词辨析配套词条_2026-07
aún,adv,n/a,A2,1,,还；仍然；甚至,,Aún no ha llegado.,他还没到。,,易混词支持|A2|adv,专四,已经,总是,从不,易混词辨析配套词条_2026-07
todavía,adv,n/a,A2,1,,还；仍然,,Todavía estoy estudiando.,我还在学习。,,易混词支持|A2|adv,专四,已经,总是,刚刚,易混词辨析配套词条_2026-07
sentir,v,n/a,A2,1,,感觉；感到；遗憾,,Siento frío.,我觉得冷。,,易混词支持|A2|v,专四,听见,看见,知道,易混词辨析配套词条_2026-07
sentirse,v,n/a,A2,1,,感觉自己…（反身）,,Me siento feliz.,我感到幸福。,,易混词支持|A2|v,专四,成为,看起来,变成,易混词辨析配套词条_2026-07
volver,v,n/a,A2,1,,返回；再次,,Vuelvo a casa a las ocho.,我八点回家。,,易混词支持|A2|v,专四,来,去,离开,易混词辨析配套词条_2026-07
devolver,v,n/a,A2,1,,归还；退回,,Debo devolver el libro.,我得把书还回去。,,易混词支持|A2|v,专四,借,买,送,易混词辨析配套词条_2026-07
tomar,v,n/a,A2,1,,拿；喝；乘坐,,Tomo un café.,我喝杯咖啡。,,易混词支持|A2|v,专四,吃,给,放,易混词辨析配套词条_2026-07
haber,v,n/a,A2,1,,有（存在）；助动词,,Hay mucha gente.,有很多人。,,易混词支持|A2|v,专四,是,在,拥有,易混词辨析配套词条_2026-07
