lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
de,prep,n/a,A1,,的,de,Contexto: de.,例句待内容组补充（de）。,de.jpg,A1|prep|语法|日常,,晚的,病人,信,词库自动生成_待内容组校对
ella,pron,n/a,A1,ˈeʎa,她,she,Ella vive en Madrid.,她住在马德里。,ella.jpg,日常|代词,,他,我们,他们,词库自动生成_待内容组校对
que,pron,n/a,A1,,那,que,Contexto: que.,例句待内容组补充（que）。,que.jpg,A1|pron|日常,,quedar（待校对）,发现,解决,词库自动生成_待内容组校对
el,art,n/a,A1,,他,el,Contexto: el.,例句待内容组补充（el）。,el.jpg,A1|art|日常,,拿,手术,那,词库自动生成_待内容组校对
ser,v,n/a,A1,seɾ,是（本质）,to be,Soy de China.,我来自中国。,ser.jpg,日常|变位|易混,专四, estar, tener, haber,词库自动生成_待内容组校对
a,adv,n/a,A1,,到,a,Contexto: a.,例句待内容组补充（a）。,a.jpg,A1|adv|日常,,解释,关闭,使用,词库自动生成_待内容组校对
y,conj,n/a,A1,,和,y,Contexto: y.,例句待内容组补充（y）。,y.jpg,A1|conj|语法|日常,,头,军队,atención（待校对）,词库自动生成_待内容组校对
en,prep,n/a,A1,,在,en,Contexto: en.,例句待内容组补充（en）。,en.jpg,A1|prep|语法|日常,,老板,意思是,听到,词库自动生成_待内容组校对
él,pron,n/a,A1,el,他,he,Él es mi amigo.,他是我的朋友。,él.jpg,日常|代词,,她,我,你,词库自动生成_待内容组校对
estar,v,n/a,A1,esˈtaɾ,在；处于（状态）,to be,Estoy cansado.,我很累。,estar.jpg,日常|变位|易混,专四, ser, ir, hacer,词库自动生成_待内容组校对
uno,n,m,A1,,一,uno,Contexto: uno.,例句待内容组补充（uno）。,uno.jpg,A1|n|日常,,店铺,但,社会的,词库自动生成_待内容组校对
haber,v,n/a,A1,,有,haber,Contexto: haber.,例句待内容组补充（haber）。,haber.jpg,A1|v|变位|日常,,格莱登,甚至,这么多,词库自动生成_待内容组校对
yo,pron,n/a,A1,jo,我,I,Yo soy estudiante.,我是学生。,yo.jpg,日常|代词,,你,他,我们,词库自动生成_待内容组校对
por,prep,n/a,A1,poɾ,为了；因为,for/because,Estudio por el examen.,我为考试而学习。,por.jpg,语法|易混,专四|专八, para, con, sin,词库自动生成_待内容组校对
uno,adj,n/a,A1,,一,uno,Contexto: uno.,例句待内容组补充（uno）。,uno.jpg,A1|adj|日常,,是；对,食物；饭,原谅,词库自动生成_待内容组校对
tener,v,n/a,A1,teˈneɾ,有,to have,Tengo un libro.,我有一本书。,tener.jpg,日常|变位,专四, ser, ir, ver,词库自动生成_待内容组校对
se,pron,n/a,A1,,他,se,Contexto: se.,例句待内容组补充（se）。,se.jpg,A1|pron|日常,,拿,准备,放弃,词库自动生成_待内容组校对
ir,v,n/a,A1,iɾ,去,to go,Voy a la escuela.,我去学校。,ir.jpg,日常|变位,, venir, estar, ser,词库自动生成_待内容组校对
con,prep,n/a,A1,kon,和；用,with,Voy con mi amigo.,我和朋友一起去。,con.jpg,语法,, sin, sobre, contra,词库自动生成_待内容组校对
qué,pron,n/a,A1,,那,qué,Contexto: qué.,例句待内容组补充（qué）。,qué.jpg,A1|pron|日常,,很少,安排,你的,词库自动生成_待内容组校对
suyo,adj,n/a,A1,,他的,suyo,Contexto: suyo.,例句待内容组补充（suyo）。,suyo.jpg,A1|adj|日常,,需要,状况,生活,词库自动生成_待内容组校对
