lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
mejora,n,f,B2,,mejora（待校对）,mejora,Contexto: mejora.,例句待内容组补充（mejora）。,mejora.jpg,B2|n|进阶,专八,arquitecto（待校对）,polo（待校对）,batería（待校对）,词库自动生成_待内容组校对
recurrir,v,n/a,B2,,recurrir（待校对）,recurrir,Contexto: recurrir.,例句待内容组补充（recurrir）。,recurrir.jpg,B2|v|变位|进阶,专八,chao（待校对）,vincent（待校对）,sabio（待校对）,词库自动生成_待内容组校对
paro,n,m,B2,,paro（待校对）,paro,Contexto: paro.,例句待内容组补充（paro）。,paro.jpg,B2|n|进阶,专八,re（待校对）,ron（待校对）,divorciar（待校对）,词库自动生成_待内容组校对
camiseta,n,f,B2,,camiseta（待校对）,camiseta,Contexto: camiseta.,例句待内容组补充（camiseta）。,camiseta.jpg,B2|n|进阶,专八,estable（待校对）,griego（待校对）,recibo（待校对）,词库自动生成_待内容组校对
infección,n,f,B2,,infección（待校对）,infección,Contexto: infección.,例句待内容组补充（infección）。,infección.jpg,B2|n|进阶,专八,enano（待校对）,oculto（待校对）,envío（待校对）,词库自动生成_待内容组校对
retrato,n,m,B2,,retrato（待校对）,retrato,Contexto: retrato.,例句待内容组补充（retrato）。,retrato.jpg,B2|n|进阶,专八,irlandés（待校对）,west（待校对）,combinación（待校对）,词库自动生成_待内容组校对
chupar,v,n/a,B2,,chupar（待校对）,chupar,Contexto: chupar.,例句待内容组补充（chupar）。,chupar.jpg,B2|v|变位|进阶,专八,cosecha（待校对）,bombero（待校对）,síndrome（待校对）,词库自动生成_待内容组校对
doc,adv,n/a,B2,,doc（待校对）,doc,Contexto: doc.,例句待内容组补充（doc）。,doc.jpg,B2|adv|进阶,专八,trono（待校对）,bancario（待校对）,chupar（待校对）,词库自动生成_待内容组校对
paisaje,n,m,B2,,paisaje（待校对）,paisaje,Contexto: paisaje.,例句待内容组补充（paisaje）。,paisaje.jpg,B2|n|进阶,专八,satisfacción（待校对）,rubio（待校对）,rubio（待校对）,词库自动生成_待内容组校对
descender,v,n/a,B2,,descender（待校对）,descender,Contexto: descender.,例句待内容组补充（descender）。,descender.jpg,B2|v|变位|进阶,专八,facilidad（待校对）,duración（待校对）,jovencito（待校对）,词库自动生成_待内容组校对
