lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
hola,int,n/a,A1,ˈola,你好,hello,¡Hola! ¿Cómo estás?,你好！你怎么样？,hola.jpg,日常|问候,,再见,谢谢,对不起,demo_placeholder
adiós,int,n/a,A1,aˈðjos,再见,goodbye,¡Adiós! Hasta mañana.,再见！明天见。,adios.jpg,日常|问候,,你好,请,欢迎,demo_placeholder
gracias,int,n/a,A1,ˈɡɾaθjas,谢谢,thank you,Muchas gracias por tu ayuda.,非常感谢你的帮助。,gracias.jpg,日常|礼貌,,对不起,请,没关系,demo_placeholder
por favor,int,n/a,A1,por faˈβoɾ,请,please,Un café, por favor.,请给我一杯咖啡。,por_favor.jpg,日常|礼貌,,谢谢,再见,你好,demo_placeholder
sí,adv,n/a,A1,si,是；对,yes,Sí, estoy de acuerdo.,是的，我同意。,si.jpg,日常,,不是,也许,从不,demo_placeholder
no,adv,n/a,A1,no,不；没有,no,No entiendo.,我不明白。,no.jpg,日常,,是,有,全部,demo_placeholder
yo,pron,n/a,A1,jo,我,I,Yo soy estudiante.,我是学生。,yo.jpg,日常|代词,,你,他,我们,demo_placeholder
tú,pron,n/a,A1,tu,你,you,Tú hablas muy bien.,你说得很好。,tu.jpg,日常|代词,,我,他,她,demo_placeholder
él,pron,n/a,A1,el,他,he,Él es mi amigo.,他是我的朋友。,el.jpg,日常|代词,,她,我,你,demo_placeholder
ella,pron,n/a,A1,ˈeʎa,她,she,Ella vive en Madrid.,她住在马德里。,ella.jpg,日常|代词,,他,我们,他们,demo_placeholder
nosotros,pron,n/a,A1,noˈsotɾos,我们,we,Nosotros estudiamos español.,我们学习西班牙语。,nosotros.jpg,日常|代词,,你们,他们,我,demo_placeholder
ser,v,n/a,A1,seɾ,是（本质）,to be,Soy de China.,我来自中国。,ser.jpg,日常|变位|易混,专四, estar, tener, haber,demo_placeholder
estar,v,n/a,A1,esˈtaɾ,在；处于（状态）,to be,Estoy cansado.,我很累。,estar.jpg,日常|变位|易混,专四, ser, ir, hacer,demo_placeholder
