lemma,pos,gender,level,sense,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
adiós,int,n/a,A1,1,,再见,,"Después de la clase, digo adiós a mis amigos y camino despacio hacia mi casa.",下课后，我和朋友们说再见，然后慢慢走回家。,adios_1.jpg,义项包|A1|int,,男人,牛奶；乳制品饮品（写作常用）,狗,大创内容组_words_senses_team.csv
agua,n,f,A1,1,,饮用水；清水（专四写作高频基础词）,,Bebe dos litros de agua todos los días para mantener el cuerpo sano y fuerte.,每天喝两升水，保持身体健康强壮。,agua_1.jpg,义项包|考试路径|A1|n,专四,书包；双肩背包,问题；难题；困难,肉类（通用统称，饮食话题核心）,大创内容组_words_tem4.csv
amigo,n,m,A1,2,,朋友们（统称）,,"Los fines de semana salgo con mis amigos al parque, hablamos mucho y a veces comemos juntos algo sencillo.",周末我和朋友们去公园，聊很多天，有时一起吃些简单的食物。,amigo_2.jpg,义项包|A1|n,,牛奶；乳制品饮品（写作常用）,明天,猫,大创内容组_words_senses_team.csv
año,n,m,A1,1,,年；年份,,Este año voy a presentarme al examen de español TEM4.,今年我要参加西班牙语专业四级考试。,anio_1.jpg,义项包|考试路径|A1|n,专四,在附近；不远,每；每个,脚；足,大创内容组_words_tem4.csv
beber,v,n/a,A1,1,,喝；饮用,,Es importante beber suficiente agua durante el día para mantener el cuerpo hidratado.,白天喝足够的水以保持身体水分充足是很重要的。,beber_1.jpg,义项包|考试路径|A1|v,专四,心脏；心,房门；大门；门口,自行车,大创内容组_senses_table_tem4 7.31.xlsx
ella,pron,n/a,A1,1,,她,,Ella es mi profesora de español y habla muy despacio cuando aprendemos palabras nuevas.,她是我的西语老师，我们学新词时她说得很慢。,ella_1.jpg,义项包|A1|pron,,男人,猫,不,大创内容组_words_senses_team.csv
escuela,n,f,A1,1,,学校,,Voy a la escuela a las ocho de la mañana y regreso a casa alrededor de las tres de la tarde.,我早上八点去学校，下午三点左右回家。,escuela_1.jpg,义项包|A1|n,,对不起,狗,朋友们（统称）,大创内容组_words_senses_team.csv
estar,v,n/a,A1,1,,在,,"El libro está sobre la mesa, al lado de mi mochila negra y mis lápices.",书在桌子上，旁边是我的黑色书包和铅笔。,estar_1.jpg,义项包|A1|v,,面包（主食，专四搭配高频）,小的,姐妹,大创内容组_words_senses_team.csv
estudiar,v,n/a,A1,2,,读书,,Por la noche estudio el libro de texto en mi habitación y subrayo las palabras nuevas que quiero recordar.,晚上我在房间读课本，划出想记住的新词。,estudiar_2.jpg,义项包|A1|v,,女人,大的,交谈,大创内容组_words_senses_team.csv
familia,n,f,A1,2,,家人,,"Amo a mi familia y les escribo un mensaje casi todos los días, aunque esté muy ocupado con el trabajo.",我爱我的家人，几乎每天都会给他们发消息，即使工作很忙。,familia_2.jpg,义项包|A1|n,,儿子,女儿,狗,大创内容组_words_senses_team.csv
gato,n,m,A1,1,,猫,,Tengo un gato pequeño de color naranja que duerme mucho durante el día y juega por la noche.,我有一只橙色的小猫，白天睡很多觉，晚上才玩耍。,gato_1.jpg,义项包|A1|n,,男孩,女老师,父亲,大创内容组_words_senses_team.csv
gracias,n,f,A1,1,,谢谢,,Digo gracias a mi compañera porque me presta un lápiz rojo durante el examen.,我对同学说谢谢，因为考试时她借给我一支红铅笔。,gracias_1.jpg,义项包|A1|n,,女儿,女人,我,大创内容组_words_senses_team.csv
grande,adj,n/a,A1,1,,大的,,"Mi casa no es muy grande, pero tiene un salón cómodo y una cocina donde toda la familia puede comer juntos.",我的房子不算很大，但有一个舒适的客厅，还有全家能一起吃饭的厨房。,grande_1.jpg,义项包|A1|adj,,读书,是,女老师,大创内容组_words_senses_team.csv
hablar,v,n/a,A1,2,,交谈,,"Cuando hablamos en grupo, el profesor nos pide usar frases sencillas y escuchar con atención a los demás.",小组讨论时，老师要求我们使用简单的句子，并认真听别人说话。,hablar_2.jpg,义项包|A1|v,,谢谢,学校,再见,大创内容组_words_senses_team.csv
hermana,n,f,A1,1,,姐妹,,Mi hermana vive conmigo y siempre escucha música mientras hace los deberes.,我姐妹和我住在一起，做作业时总是听音乐。,hermana_1.jpg,义项包|A1|n,,我们,是,面包（主食，专四搭配高频）,大创内容组_words_senses_team.csv
hermano,n,m,A1,1,,兄弟,,Mi hermano estudia inglés por la tarde y juega al fútbol después de clase.,我兄弟下午学英语，下课后踢足球。,hermano_1.jpg,义项包|A1|n,,喝；饮用,女人,他,大创内容组_words_senses_team.csv
hija,n,f,A1,1,,女儿,,Mi hija estudia español conmigo y repite las frases después de escuchar el audio.,我女儿和我一起学西语，听音频后重复句子。,hija_1.jpg,义项包|A1|n,,兄弟,父亲,我们,大创内容组_words_senses_team.csv
hijo,n,m,A1,1,,儿子,,Mi hijo tiene seis años y aprende palabras nuevas en la escuela cada día.,我儿子六岁，每天在学校学新词。,hijo_1.jpg,义项包|A1|n,,我们,父亲,朋友们（统称）,大创内容组_words_senses_team.csv
hola,int,n/a,A1,1,,你好,,"Hola, soy Ana y estudio español por la mañana con mis nuevos compañeros de clase.",你好，我是安娜，早上和新同学一起学西语。,hola_1.jpg,义项包|A1|int,,女孩,大的,再见,大创内容组_words_senses_team.csv
hombre,n,m,A1,1,,男人,,El hombre espera el autobús frente a la escuela con una bolsa negra.,男人拿着黑包在学校前等公交。,hombre_1.jpg,义项包|A1|n,,交谈,牛奶；乳制品饮品（写作常用）,狗,大创内容组_words_senses_team.csv
hora,n,f,A1,1,,小时；点钟,,Tengo una hora libre entre la primera y la segunda clase.,第一节和第二节课之间我有一小时空闲。,hora_1.jpg,义项包|考试路径|A1|n,专四,茶；茶水（日常话题基础词）,山；山脉,水果（统称，阅读高频）,大创内容组_words_tem4.csv
hoy,adv,n/a,A1,1,,今天,,Hoy debemos entregar el ensayo sobre cultura hispánica.,今天我们必须提交关于西语文化的论文。,hoy_1.jpg,义项包|考试路径|A1|adv,专四,自行车,现在；此刻,在附近；不远,大创内容组_words_tem4.csv
leche,n,f,A1,1,,牛奶；乳制品饮品（写作常用）,,Me gusta tomar un vaso de leche caliente antes de dormir todas las noches del invierno.,冬天的每晚我都喜欢睡前喝一杯热牛奶。,leche_1.jpg,义项包|考试路径|A1|n,专四,星期二,鼻子,腿；腿部,大创内容组_words_tem4.csv
madre,n,f,A1,1,,母亲,,Mi madre lee cuentos por la noche cuando mi hermana no puede dormir temprano.,我母亲晚上给妹妹读故事，因为她不能早睡。,madre_1.jpg,义项包|A1|n,,女孩,牛奶；乳制品饮品（写作常用）,狗,大创内容组_words_senses_team.csv
mañana,n,f,A1,1,,早上；上午,,Estudio vocabulario cada mañana antes de entrar al aula.,每天上午进教室前我都会背单词。,manana_1.jpg,义项包|考试路径|A1|n,专四,肉类（通用统称，饮食话题核心）,音乐；乐曲,今天,大创内容组_words_tem4.csv
mañana,adv,n/a,A1,2,,明天,,Mañana tendremos un examen de vocabulario muy importante.,明天我们有一场十分重要的词汇测试。,manana_2.jpg,义项包|考试路径|A1|adv,专四,鼻子,敢于；勇敢做,分钟,大创内容组_words_tem4.csv
minuto,n,m,A1,1,,分钟,,Cada ejercicio de audición dura quince minutos en el examen.,考试里每道听力题时长十五分钟。,minuto_1.jpg,义项包|考试路径|A1|n,专四,山；山脉,药；医学,星期二,大创内容组_words_tem4.csv
mujer,n,f,A1,1,,女人,,La mujer compra fruta en el mercado y vuelve a casa antes de comer.,女人在市场买水果，并在吃饭前回家。,mujer_1.jpg,义项包|A1|n,,猫,下午；傍晚,他,大创内容组_words_senses_team.csv
niña,n,f,A1,1,,女孩,,La niña lee un cuento corto en voz alta para practicar español con su madre.,女孩大声读一个短故事，和母亲练习西语。,nina_1.jpg,义项包|A1|n,,学校,兄弟,男孩,大创内容组_words_senses_team.csv
niño,n,m,A1,1,,男孩,,El niño corre en el parque con su perro después de terminar la escuela.,男孩放学后和他的狗在公园跑。,nino_1.jpg,义项包|A1|n,,家人,猫,再见,大创内容组_words_senses_team.csv
no,adv,n/a,A1,1,,不,,"No, hoy no quiero café porque ya bebí leche caliente antes de salir.",不，今天我不想喝咖啡，因为出门前已经喝了热牛奶。,no_1.jpg,义项包|A1|adv,,女孩,下午；傍晚,女儿,大创内容组_words_senses_team.csv
noche,n,f,A1,1,,夜晚；夜里,,Me gusta leer novelas en español cada noche antes de dormir.,每晚睡前我喜欢读西班牙语小说。,noche_1.jpg,义项包|考试路径|A1|n,专四,星期；一周,在附近；不远,河；河流,大创内容组_words_tem4.csv
nosotros,pron,n/a,A1,1,,我们,,Nosotros estudiamos español los lunes y los miércoles en una clase muy luminosa.,我们每周一和周三在一间很明亮的教室学西语。,nosotros_1.jpg,义项包|A1|pron,,他,狗,牛奶；乳制品饮品（写作常用）,大创内容组_words_senses_team.csv
padre,n,m,A1,1,,父亲,,Mi padre cocina arroz los domingos y todos comemos juntos en la mesa grande.,我父亲星期天做米饭，我们都围着大桌子一起吃。,padre_1.jpg,义项包|A1|n,,对不起,母亲,女儿,大创内容组_words_senses_team.csv
pan,n,m,A1,1,,面包（主食，专四搭配高频）,,Todas las mañanas compro pan fresco en la panadería de la esquina de mi casa.,我每天早上都去我家街角的面包店买新鲜面包。,pan_1.jpg,义项包|考试路径|A1|n,专四,月份；一个月,医生；大夫,早上；上午,大创内容组_words_tem4.csv
pequeño,adj,n/a,A1,1,,小的,,"Tengo un gato pequeño que todavía es joven, pero ya corre por toda la casa con mucha energía.",我有一只小猫，还很年轻，但已经精力充沛地满屋子跑。,pequeno_1.jpg,义项包|A1|adj,,你,父亲,女人,大创内容组_words_senses_team.csv
perdón,n,m,A1,1,,对不起,,"Perdón, llego tarde porque el autobús pasa muy despacio por el centro esta mañana.",对不起，我迟到了，因为今天早上公交车在市中心开得很慢。,perdon_1.jpg,义项包|A1|n,,大的,再见,读书,大创内容组_words_senses_team.csv
perro,n,m,A1,1,,狗,,"Mi perro es muy grande y amable, y le encanta correr en el parque con los niños del vecindario.",我的狗又大又友好，最喜欢在公园里和邻居家的孩子一起跑。,perro_1.jpg,义项包|A1|n,,今天,在,兄弟,大创内容组_words_senses_team.csv
profesora,n,f,A1,1,,女老师,,La profesora escribe ejemplos en la pizarra y nosotros copiamos las frases en silencio.,女老师在黑板上写例句，我们安静地抄句子。,profesora_1.jpg,义项包|A1|n,,我,你,是,大创内容组_words_senses_team.csv
semana,n,f,A1,1,,星期；一周,,Cada semana hacemos un dictado en la clase de español.,每周西语课我们都会进行一次听写。,semana_1.jpg,义项包|考试路径|A1|n,专四,面包（主食，专四搭配高频）,星期二,蔬菜；青菜（日常写作必备）,大创内容组_words_tem4.csv
ser,v,n/a,A1,1,,是,,Soy estudiante de español y mi profesora es muy paciente con todos los principiantes.,我是西语学生，我的老师对所有初学者都很有耐心。,ser_1.jpg,义项包|A1|v,,女人,年；年份,我们,大创内容组_words_senses_team.csv
sí,adv,n/a,A1,1,,是,,"Sí, quiero estudiar español este año porque me gusta escuchar música latina en casa.",是的，我今年想学西语，因为我喜欢在家听拉丁音乐。,si_1.jpg,义项包|A1|adv,,他,今天,女老师,大创内容组_words_senses_team.csv
tarde,n,f,A1,1,,下午；傍晚,,Por la tarde vamos a la biblioteca a repasar gramática.,下午我们去图书馆复习语法。,tarde_1.jpg,义项包|考试路径|A1|n,专四,某物；一些东西,这里；在这儿,在附近；不远,大创内容组_words_tem4.csv
tú,pron,n/a,A1,1,,你,,Tú tienes un libro azul en la mochila y lo usas todos los días.,你书包里有一本蓝色的书，每天都用它。,tu_1.jpg,义项包|A1|pron,,儿子,男人,兄弟,大创内容组_words_senses_team.csv
yo,pron,n/a,A1,1,,我,,Yo estudio en una escuela pequeña y camino allí con mi hermana cada mañana.,我在一所小学校学习，每天早上和妹妹走路去那里。,yo_1.jpg,义项包|A1|pron,,牛奶；乳制品饮品（写作常用）,下午；傍晚,饮用水；清水（专四写作高频基础词）,大创内容组_words_senses_team.csv
él,pron,n/a,A1,1,,他,,Él vive cerca de la escuela y siempre llega temprano a la clase de español.,他住在学校附近，总是很早到西语课。,el_1.jpg,义项包|A1|pron,,狗,小时；点钟,她,大创内容组_words_senses_team.csv
abrir,v,n/a,A2,1,,打开；开启；翻开,,"Por favor, abre la ventana para que entre aire fresco en la habitación.",请打开窗户，让新鲜空气进入房间。,abrir_1.jpg,义项包|考试路径|A2|v,专四,取暖；让自己暖和,非常；很；大量地,笔记（常用复数）,大创内容组_words_tem4.csv
amigo,n,m,A2,1,,朋友；友人,,Los verdaderos amigos están contigo en los buenos y en los malos momentos de la vida.,真正的朋友会陪你度过人生的顺境和逆境。,amigo_1.jpg,义项包|考试路径|A2|n,专四,工作；劳动；上班,快速地；迅速地,口头的,大创内容组_words_tem4.csv
bueno,adj,n/a,A2,1,,好的；优秀的；美好的；善良的,,Mi profesor dice que mi ensayo es muy bueno y tiene muchas ideas creativas.,我的老师说我的短文写得非常好，有很多有创意的想法。,bueno_1.jpg,义项包|考试路径|A2|adj,专四,写；书写；写作,穿（鞋）,足够；足以,大创内容组_words_tem4.csv
bueno,adj,n/a,A2,2,,有益的；合适的；对… 有好处的,,Hacer ejercicio todos los días es muy bueno para tu salud física y mental.,每天做运动对你的身心健康都非常有好处。,bueno_2.jpg,义项包|考试路径|A2|adj,专四,足够；足以,认识；结识；了解（人）,账户；户头,大创内容组_words_tem4.csv
casa,n,f,A2,1,,家；家庭；住所,,Después de clase vuelvo a casa para descansar y cenar con mi familia.,下课后我回到家，和家人一起休息、吃晚饭。,casa_1.jpg,义项包|考试路径|A2|n,专四,跟随；跟着；追随,农村；田野,口袋,大创内容组_words_tem4.csv
casa,n,f,A2,2,,房子；房屋；建筑,,Mi abuela vive en una casa pequeña con un jardín lleno de flores rojas.,我奶奶住在一栋带满是红花的花园的小房子里。,casa_2.jpg,义项包|考试路径|A2|n,专四,日历；月历,听说；得知；听到消息,有益的；合适的；对… 有好处的,大创内容组_words_tem4.csv
cerrar,v,n/a,A2,1,,关闭；关上；合上,,"Por favor, cierra el libro y escucha atentamente la explicación del profesor.",请合上书，认真听老师的讲解。,cerrar_1.jpg,义项包|考试路径|A2|v,专四,药片；药丸,会；懂得；掌握,数量；数额,大创内容组_words_tem4.csv
comer,v,n/a,A2,1,,吃；吃饭；用餐,,"En España, la gente suele comer la cena muy tarde, alrededor de las nueve o diez de la noche.",在西班牙，人们通常很晚吃晚餐，大概在晚上九点或十点。,comer_1.jpg,义项包|考试路径|A2|v,专四,汽车；小汽车,硬币；货币,某个；某些；一些（肯定/否定）,大创内容组_words_tem4.csv
comprar,v,n/a,A2,1,,买；购买；采购,,"Voy al supermercado todos los sábados para comprar frutas, verduras y otros alimentos frescos.",我每周六都会去超市买水果、蔬菜和其他新鲜食材。,comprar_1.jpg,义项包|考试路径|A2|v,专四,整理；安排,驾驶；开车,穿着；戴着；佩戴,大创内容组_words_tem4.csv
decir,v,n/a,A2,1,,说；讲；告诉；讲述,,Mi profesor siempre dice que la práctica es la clave para aprender español bien.,我的老师总是说，练习是学好西班牙语的关键。,decir_1.jpg,义项包|考试路径|A2|v,专四,意味着；意思是；表示,坐下；就座,语法,大创内容组_words_tem4.csv
día,n,m,A2,1,,天；日子,,Cada día repaso veinte palabras nuevas para ampliar mi vocabulario.,我每天复习二十个新词扩充词汇量。,dia_1.jpg,义项包|考试路径|A2|n,专四,马,北方；北边,口袋,大创内容组_words_tem4.csv
escribir,v,n/a,A2,1,,写；书写；写作,,Los estudiantes deben escribir un ensayo de 500 palabras sobre su vida universitaria.,学生们需要写一篇 500 字的关于大学生活的短文。,escribir_1.jpg,义项包|考试路径|A2|v,专四,变化；改变,感到高兴；感到开心,国家；国度,大创内容组_words_tem4.csv
escuchar,v,n/a,A2,1,,听；倾听；聆听,,Me gusta escuchar música tranquila mientras estudio para concentrarme mucho mejor.,我学习的时候喜欢听舒缓的音乐来更好地集中注意力。,escuchar_1.jpg,义项包|考试路径|A2|v,专四,记录；记下,找到；发现；碰见,雪；积雪,大创内容组_words_tem4.csv
estudiar,v,n/a,A2,1,,学习；研究；攻读,,Mis compañeros y yo estudiamos español todos los días en la sala de clase.,我和同学们每天在教室里学习西班牙语。,estudiar_1.jpg,义项包|考试路径|A2|v,专四,听写,邀请；请柬,打开；开启；翻开,大创内容组_words_tem4.csv
familia,n,f,A2,1,,家庭；家人；家族,,Los domingos siempre comemos juntos toda la familia en casa de los abuelos maternos.,周日我们全家总是在外婆家一起吃饭。,familia_1.jpg,义项包|考试路径|A2|n,专四,美洲的；美洲人；美国的；美国人,教；教授；教导,听写,大创内容组_words_tem4.csv
hablar,v,n/a,A2,1,,说；讲；说话；交谈,,Yo hablo español con mis compañeros todos los días para practicar mi pronunciación.,我每天都和同学说西班牙语，练习我的发音。,hablar_1.jpg,义项包|考试路径|A2|v,专四,在高处；在上面；向上,建议；劝告；指导,找到；发现；碰见,大创内容组_words_tem4.csv
hacer,v,n/a,A2,1,,做；干；制作；从事,,Todos los días hago mi tarea de español después de cenar en mi habitación.,我每天晚饭后都在自己的房间里做西班牙语作业。,hacer_1.jpg,义项包|考试路径|A2|v,专四,噪音；声响,加热；使变热,食欲；胃口,大创内容组_words_tem4.csv
ir,v,n/a,A2,1,,去；走；前往；到,,Mañana voy a ir al museo de arte español con mi clase para hacer un trabajo.,明天我要和班级一起去西班牙艺术博物馆做一个作业。,ir_1.jpg,义项包|考试路径|A2|v,专四,圆珠笔；水性笔,书面的,美洲的；美洲人；美国的；美国人,大创内容组_words_tem4.csv
leer,v,n/a,A2,1,,读；阅读；朗读,,Me gusta leer novelas en español en mi tiempo libre para ampliar mi vocabulario.,我空闲时间喜欢读西班牙语小说，来扩大我的词汇量。,leer_1.jpg,义项包|考试路径|A2|v,专四,语言；语种,甜的；甜美的,兴趣；关注,大创内容组_words_tem4.csv
libro,n,m,A2,1,,书；书籍；著作,,Todos los días leo un libro de novelas españolas antes de dormir.,我每天睡觉前都会读一本西班牙小说书。,libro_1.jpg,义项包|考试路径|A2|n,专四,电脑；笔记本电脑,词典,巴西的；巴西人,大创内容组_words_tem4.csv
llamarse,v,n/a,A2,1,,名叫；叫做；称为,,El nuevo compañero de clase se llama Carlos y viene de la ciudad de Buenos Aires.,新来的同班同学叫卡洛斯，来自布宜诺斯艾利斯。,llamarse_1.jpg,义项包|考试路径|A2|v,专四,打招呼；问候；致意,小说；长篇小说,准备；预备,大创内容组_words_tem4.csv
malo,adj,n/a,A2,1,,坏的；不好的；糟糕的；差的,,La nota del examen fue muy mala porque no estudié lo suficiente antes.,这次考试的成绩非常差，因为我之前没有学够。,malo_1.jpg,义项包|考试路径|A2|adj,专四,教室；课堂,似乎；好像；看起来,写；书写；写作,大创内容组_words_tem4.csv
malo,adj,n/a,A2,2,,生病的；不舒服的；邪恶的,,No puedo ir a clase hoy porque me siento muy malo y tengo fiebre.,我今天不能去上课了，因为我感觉很不舒服，还发烧了。,malo_2.jpg,义项包|考试路径|A2|adj,专四,回答；答复；回应,理解；明白；领会,加热；使变热,大创内容组_words_tem4.csv
mesa,n,f,A2,1,,书桌；普通桌子,,Pon todos los libros sobre la mesa para ordenarlos después de terminar de estudiar.,把所有书都放在桌子上，学习完了再整理。,mesa_1.jpg,义项包|考试路径|A2|n,专四,记录；记下,打扮；整理自己；收拾,安静；沉默,大创内容组_words_tem4.csv
necesitar,v,n/a,A2,1,,需要；必需；需求,,Necesitamos comprar más frutas y verduras frescas para toda la semana que viene.,我们需要为接下来一整周买更多新鲜的水果和蔬菜。,necesitar_1.jpg,义项包|考试路径|A2|v,专四,缺席；缺勤,苦的；苦涩的,一点儿；稍微,大创内容组_words_tem4.csv
poder,v,n/a,A2,1,,能够；可以；会,,¿Puedes ayudarme a llevar esta caja pesada hasta el tercer piso?,你能帮我把这个重箱子搬到三楼吗？,poder_1.jpg,义项包|考试路径|A2|v,专四,记录；记下,袜子,出席；到场,大创内容组_words_tem4.csv
