lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
balance,n,n/a,C2,,balance（待校对）,balance,Contexto: balance.,例句待内容组补充（balance）。,balance.jpg,C2|n|高级,专八,ejercitar（待校对）,torta（待校对）,sofisticado（待校对）,词库自动生成_待内容组校对
emisora,n,f,C2,,emisora（待校对）,emisora,Contexto: emisora.,例句待内容组补充（emisora）。,emisora.jpg,C2|n|高级,专八,cóctel（待校对）,paco（待校对）,descifrar（待校对）,词库自动生成_待内容组校对
descuidar,v,n/a,C2,,descuidar（待校对）,descuidar,Contexto: descuidar.,例句待内容组补充（descuidar）。,descuidar.jpg,C2|v|变位|高级,专八,vagabundo（待校对）,mozo（待校对）,antena（待校对）,词库自动生成_待内容组校对
rana,n,f,C2,,rana（待校对）,rana,Contexto: rana.,例句待内容组补充（rana）。,rana.jpg,C2|n|高级,专八,ambicioso（待校对）,subida（待校对）,burla（待校对）,词库自动生成_待内容组校对
difunto,adj,n/a,C2,,difunto（待校对）,difunto,Contexto: difunto.,例句待内容组补充（difunto）。,difunto.jpg,C2|adj|高级,专八,a.（待校对）,aterrador（待校对）,terraza（待校对）,词库自动生成_待内容组校对
brutal,adj,n/a,C2,,brutal（待校对）,brutal,Contexto: brutal.,例句待内容组补充（brutal）。,brutal.jpg,C2|adj|高级,专八,batman（待校对）,janet（待校对）,enfocar（待校对）,词库自动生成_待内容组校对
ashley,adv,n/a,C2,,ashley（待校对）,ashley,Contexto: ashley.,例句待内容组补充（ashley）。,ashley.jpg,C2|adv|高级,专八,resaltar（待校对）,honrar（待校对）,fractura（待校对）,词库自动生成_待内容组校对
mochila,n,f,C2,,mochila（待校对）,mochila,Contexto: mochila.,例句待内容组补充（mochila）。,mochila.jpg,C2|n|高级,专八,triple（待校对）,catedral（待校对）,nuez（待校对）,词库自动生成_待内容组校对
tentación,n,f,C2,,tentación（待校对）,tentación,Contexto: tentación.,例句待内容组补充（tentación）。,tentación.jpg,C2|n|高级,专八,inocencia（待校对）,brindis（待校对）,almacenar（待校对）,词库自动生成_待内容组校对
aterrorizar,v,n/a,C2,,aterrorizar（待校对）,aterrorizar,Contexto: aterrorizar.,例句待内容组补充（aterrorizar）。,aterrorizar.jpg,C2|v|变位|高级,专八,enfermería（待校对）,mason（待校对）,leonard（待校对）,词库自动生成_待内容组校对
sobrio,adj,n/a,C2,,sobrio（待校对）,sobrio,Contexto: sobrio.,例句待内容组补充（sobrio）。,sobrio.jpg,C2|adj|高级,专八,kent（待校对）,vagabundo（待校对）,bolivia（待校对）,词库自动生成_待内容组校对
criado,n,m,C2,,criado（待校对）,criado,Contexto: criado.,例句待内容组补充（criado）。,criado.jpg,C2|n|高级,专八,tentación（待校对）,derrumbar（待校对）,ausente（待校对）,词库自动生成_待内容组校对
ligeramente,adv,n/a,C2,,ligeramente（待校对）,ligeramente,Contexto: ligeramente.,例句待内容组补充（ligeramente）。,ligeramente.jpg,C2|adv|高级,专八,circular（待校对）,prolongar（待校对）,sueco（待校对）,词库自动生成_待内容组校对
polla,n,f,C2,,polla（待校对）,polla,Contexto: polla.,例句待内容组补充（polla）。,polla.jpg,C2|n|高级,专八,allison（待校对）,lane（待校对）,ginebra（待校对）,词库自动生成_待内容组校对
green,n,n/a,C2,,green（待校对）,green,Contexto: green.,例句待内容组补充（green）。,green.jpg,C2|n|高级,专八,quizas（待校对）,dí（待校对）,bandeja（待校对）,词库自动生成_待内容组校对
em,adv,n/a,C2,,em（待校对）,em,Contexto: em.,例句待内容组补充（em）。,em.jpg,C2|adv|高级,专八,relativamente（待校对）,bus（待校对）,podrido（待校对）,词库自动生成_待内容组校对
raymond,adv,n/a,C2,,raymond（待校对）,raymond,Contexto: raymond.,例句待内容组补充（raymond）。,raymond.jpg,C2|adv|高级,专八,baby（待校对）,ambicioso（待校对）,maricón（待校对）,词库自动生成_待内容组校对
apuro,n,m,C2,,apuro（待校对）,apuro,Contexto: apuro.,例句待内容组补充（apuro）。,apuro.jpg,C2|n|高级,专八,coser（待校对）,poético（待校对）,seleccionado（待校对）,词库自动生成_待内容组校对
considerable,adj,n/a,C2,,considerable（待校对）,considerable,Contexto: considerable.,例句待内容组补充（considerable）。,considerable.jpg,C2|adj|高级,专八,intacto（待校对）,altar（待校对）,estética（待校对）,词库自动生成_待内容组校对
chance,n,n/a,C2,,chance（待校对）,chance,Contexto: chance.,例句待内容组补充（chance）。,chance.jpg,C2|n|高级,专八,allison（待校对）,aborto（待校对）,alabar（待校对）,词库自动生成_待内容组校对
arturo,n,m,C2,,arturo（待校对）,arturo,Contexto: arturo.,例句待内容组补充（arturo）。,arturo.jpg,C2|n|高级,专八,ashley（待校对）,leonard（待校对）,yeah（待校对）,词库自动生成_待内容组校对
suegro,n,m,C2,,suegro（待校对）,suegro,Contexto: suegro.,例句待内容组补充（suegro）。,suegro.jpg,C2|n|高级,专八,go（待校对）,colaborador（待校对）,ambicioso（待校对）,词库自动生成_待内容组校对
aborto,n,m,C2,,aborto（待校对）,aborto,Contexto: aborto.,例句待内容组补充（aborto）。,aborto.jpg,C2|n|高级,专八,vestuario（待校对）,a.（待校对）,derrumbar（待校对）,词库自动生成_待内容组校对
rita,n,f,C2,,rita（待校对）,rita,Contexto: rita.,例句待内容组补充（rita）。,rita.jpg,C2|n|高级,专八,turco（待校对）,convencional（待校对）,we（待校对）,词库自动生成_待内容组校对
matón,n,n/a,C2,,matón（待校对）,matón,Contexto: matón.,例句待内容组补充（matón）。,matón.jpg,C2|n|高级,专八,monumento（待校对）,decena（待校对）,contaminación（待校对）,词库自动生成_待内容组校对
yeah,adv,n/a,C2,,yeah（待校对）,yeah,Contexto: yeah.,例句待内容组补充（yeah）。,yeah.jpg,C2|adv|高级,专八,jinete（待校对）,tentación（待校对）,suspensión（待校对）,词库自动生成_待内容组校对
carrie,adv,n/a,C2,,carrie（待校对）,carrie,Contexto: carrie.,例句待内容组补充（carrie）。,carrie.jpg,C2|adv|高级,专八,coco（待校对）,radar（待校对）,cría（待校对）,词库自动生成_待内容组校对
