lemma,pos,gender,level,sense,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
cita,n,f,A2,1,,预约；（也指）约会,,Pedí una cita en la oficina de extranjeros para renovar mi tarjeta de residencia.,我预约了外国人事务办公室去续居留卡。,cita_1.jpg,考试路径|A2|n,专八|专四,待填写,待填写,待填写,大创内容组_senses_table_tem4_with_images.xlsx
autonomía,n,f,B1,1,,自治；自治权；自主；独立,,La universidad goza de cierta autonomía para decidir sus propios planes de estudio.,大学在决定自己的教学计划方面享有一定的自治权。,autonomia_1.jpg,考试路径|B1|n,专八|专四,预算,拼写,翻译,大创内容组_senses_table_tem4 7.31.xlsx
ortografía,n,f,B1,1,,拼写,,Cuidar la ortografía incluye tildes y la diferencia entre b/v o g/j según la regla.,注意拼写包括重音符号，以及按规则区分 b/v、g/j 等。,ortografia_1.jpg,考试路径|B1|n,专八|专四,翻译,预算,自治；自治权；自主；独立,大创内容组_senses_table_tem4_with_images.xlsx
presupuesto,n,m,B1,1,,预算,,"Haz un presupuesto mensual: comida, transporte, material de estudio y un pequeño ahorro.",做一份月预算：吃饭、交通、学习用品和一点储蓄。,presupuesto_1.jpg,考试路径|B1|n,专八|专四,拼写,翻译,自治；自治权；自主；独立,大创内容组_senses_table_tem4_with_images.xlsx
traducción,n,f,B1,1,,翻译,,La traducción no es solo cambiar palabras: hay que respetar el sentido y el tono del texto original.,翻译不只是换词，还要尊重原文的意义与语气。,traduccion_1.jpg,考试路径|B1|n,专八|专四,拼写,预算,自治；自治权；自主；独立,大创内容组_senses_table_tem4_with_images.xlsx
acusación,n,f,B2,1,,指控；控告,,La acusación carece de pruebas suficientes.,该指控缺乏足够证据。,acusacion_1.jpg,考试路径|B2|n,专八,人工制品；产物,隐喻,语用学,大创内容组_words_tem8.csv
afirmación,n,f,B2,1,,断言；肯定说法,,Su afirmación no se sostiene con los datos.,他的断言得不到数据支撑。,afirmacion_1.jpg,考试路径|B2|n,专八,二分法,综合；综述,人工制品；产物,大创内容组_words_tem8.csv
alusión,n,f,B2,1,,暗指；典故式提及,,El texto hace una alusión a Cervantes.,文本暗指塞万提斯。,alusion_1.jpg,考试路径|B2|n,专八,假设；假说,反义关系,共情,大创内容组_words_tem8.csv
analogía,n,f,B2,1,,类比,,Usa una analogía para explicar el concepto.,他用类比解释该概念。,analogia_1.jpg,考试路径|B2|n,专八,加工；阐述,认知,语音学,大创内容组_words_tem8.csv
anexo,n,m,B2,1,,附录,,Los datos completos figuran en el anexo.,完整数据见附录。,anexo_1.jpg,考试路径|B2|n,专八,共情,环境；语境环境,列举,大创内容组_words_tem8.csv
antonimia,n,f,B2,1,,反义关系,,Alto/bajo es un ejemplo clásico de antonimia gradable.,高/低是典型的可分级反义。,antonimia_1.jpg,考试路径|B2|n,专八,词素,标准；准则,一致性；连贯严谨,大创内容组_words_tem8.csv
análisis,n,m,B2,1,,分析,,El análisis del discurso revela cómo los conectores organizan la argumentación en un editorial.,话语分析揭示连接词如何在社论中组织论证结构。,analisis_1.jpg,考试路径|B2|n,专八|专四,反驳,句法学；句法,新词,大创内容组_senses_table_tem8_with_images.xlsx
aproximación,n,f,B2,1,,方法；进路；接近,,Proponemos una aproximación interdisciplinaria.,我们提出跨学科进路。,aproximacion_1.jpg,考试路径|B2|n,专八,连贯；条理,变异；变体差异,反义关系,大创内容组_words_tem8.csv
argumentación,n,f,B2,1,,论证；论述,,La argumentación del ensayo debe presentar pruebas y contraargumentos.,论文的论证应提出证据与反驳。,argumentacion_1.jpg,考试路径|B2|n,专八,话语；演说,方法论；方法,释义；改写,大创内容组_words_tem8.csv
arqueología,n,f,B2,1,,考古学,,La arqueología aporta datos materiales sobre el pasado.,考古学为过去提供物质证据。,arqueologia_1.jpg,考试路径|B2|n,专八,一致性；连贯严谨,反讽；讽刺,从句；条款,大创内容组_words_tem8.csv
artefacto,n,m,B2,1,,人工制品；产物,,El texto es un artefacto cultural de su época.,文本是其时代的文化产物。,artefacto_1.jpg,考试路径|B2|n,专八,惯例；公约,术语表,分化；区分,大创内容组_words_tem8.csv
