西语,义项,中文释义,图片文件名,配图提示词
matrícula,1,注册；学籍注册,images/matricula_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：一位大学生在笔记本电脑前填写在线注册表格，桌上放着学生证和笔记本
asignatura,1,课程；科目,images/asignatura_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：大学教室里黑板上写着课程名称，桌上摊开几本教科书
horario,1,时间表；课表,images/horario_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：一张彩色周课表贴在墙上，旁边有时钟和书包
biblioteca,1,图书馆,images/biblioteca_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：安静的大学图书馆内景，书架、阅读灯与埋头学习的学生
apuntes,1,笔记（常用复数）,images/apuntes_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：摊开的笔记本上用彩色笔做重点标注，旁边放着钢笔
examen,1,考试,images/examen_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：考场里学生安静答题，桌上放着试卷和铅笔
aprobar,1,通过（考试）,images/aprobar_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：学生看到成绩单上合格标记后露出轻松笑容
suspender,1,不及格；挂科,images/suspender_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：学生看着不太理想的成绩，朋友在一旁鼓励他继续努力
deberes,1,作业（常用复数）,images/deberes_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：书桌前学生一边听耳机一边在本子上写作业
entrega,1,提交；交作业,images/entrega_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：学生把装订好的论文放进提交箱或点击电脑上的提交按钮
ensayo,1,议论文；散文式写作,images/ensayo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：书桌上摊开的议论文草稿，旁边有提纲卡片与字典
resumen,1,摘要；概要,images/resumen_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：一边是长文，一边是写好的短摘要，箭头表示浓缩过程
traducción,1,翻译,images/traduccion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两页并排：左页西语、右页中文，中间有桥梁式转化示意
vocabulario,1,词汇,images/vocabulario_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：单词卡片散落在桌上，背景是西班牙语书籍
gramática,1,语法,images/gramatica_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：黑板或白板写着简单语法结构，老师指着例句讲解
conjugación,1,动词变位,images/conjugacion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：动词变位表以表格形式呈现，旁边有一张嘴在练习朗读的示意
comunicación,1,交际；沟通,images/comunicacion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两名学生面对面交谈，旁边有对话气泡示意
intercambio,1,（语言）交换；交流,images/intercambio_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两位不同国家的年轻人在咖啡馆交流，桌上放着笔记本
cultura,1,文化,images/cultura_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：西班牙与拉美文化意象拼贴：吉他、头巾、市场与节庆旗帜（无文字）
costumbre,1,习俗；习惯,images/costumbre_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：朋友见面亲切问候的温馨场景，背景是南欧风小街
tradición,1,传统,images/tradicion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：街道节庆游行：彩带、乐器与庆祝人群，气氛明亮
sociedad,1,社会,images/sociedad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：城市天际线下人群穿行，隐约有学校与办公楼剪影
medio ambiente,1,环境；生态环境,images/medio_ambiente_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：绿色公园与回收垃圾桶，学生在做环保志愿活动
noticia,1,新闻；消息,images/noticia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：平板电脑显示简洁新闻版面（无具体文字），旁边一杯咖啡
artículo,1,文章；（报刊）文章,images/articulo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：摊开的报纸或杂志特写，聚焦一篇图文并茂的专栏
entrevista,1,采访；面试,images/entrevista_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：会议室里两人隔桌交谈，一方做笔记，气氛正式而友好
presentación,1,口头报告；演示,images/presentacion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：学生站在投影屏前做演示，同学们坐在下面听讲
opinión,1,观点；意见,images/opinion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：讨论会上举手发言的学生，桌上有意见卡片
argumento,1,论据；论点,images/argumento_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：思维导图连接「事实→推理→结论」，风格简洁教育风
definición,1,定义,images/definicion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：打开的词典与便利贴上写出「定义」与例句示意（无具体字母乱码）
contexto,1,上下文；语境,images/contexto_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：一段高亮句子框出关键词，周围词语以淡色表示上下文
comprensión,1,理解（阅读/听力）,images/comprension_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：学生阅读文本并用荧光笔标出关键句
expresión,1,表达；固定表达,images/expresion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：对话框里出现一句生动口语表达，旁边用图标表示「很累」
sinónimo,1,同义词,images/sinonimo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两个含义相近的词用双向箭头连接，风格词典插图
antónimo,1,反义词,images/antonimo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：左右对称图标：太阳（早）与月亮（晚）相对
